Stability visualizer
Use number keys to select system:
        0: linear oscillator: positive stiffness
        1: linear oscillator: negative stiffness
        2: van der Pol oscillator: nonlinear damping
Use e/r keys to select numerical analysis method:
        e: Euler's Method: First order
        r: Runge-Kutta's Method: Forth order
Use up/down arrow keys to adjust parameter value

Use right/left arrow keys to adjust time step

Output:

Paremeter, System, RK Order, Distance, Time Step, Steps Taken, Kernel Time
0.100000,0,4,0.267296,0.005000,2000,564.932678
0.100000,0,4,0.267296,0.005000,2000,561.960876
0.100000,0,4,0.267296,0.005000,2000,562.411438
0.100000,2,4,1.043763,0.005000,2000,562.443237
0.100000,2,4,1.043765,0.010000,1000,286.965515
0.100000,2,4,1.043768,0.015000,666,190.757019
0.100000,2,4,1.043774,0.020000,500,140.645920
0.100000,2,4,1.043775,0.025000,400,112.906334
0.100000,2,4,1.043783,0.030000,333,93.592796
0.100000,2,4,1.043793,0.035000,285,79.332253
0.100000,2,4,1.043797,0.040000,250,69.647133
0.100000,2,4,1.043807,0.045000,222,61.961407
0.100000,2,4,1.043820,0.050000,200,55.638977
0.100000,2,4,1.043828,0.055000,181,50.545406
0.100000,2,4,1.043846,0.065000,153,42.822239
0.100000,2,4,1.043854,0.070000,142,39.762878
0.100000,2,4,1.043862,0.075000,133,37.361534
0.100000,2,4,1.043870,0.080000,125,35.194912
0.100000,2,4,1.043877,0.085000,117,32.877247
0.100000,2,4,1.043885,0.090000,111,31.221727
0.100000,2,4,1.043891,0.095000,105,29.559488
0.100000,2,4,1.043900,0.105000,95,26.781248
0.100000,2,4,1.043892,0.110000,90,25.437984
0.100000,2,4,1.043888,0.115000,86,24.325184
0.100000,2,4,1.043901,0.120000,83,23.494368
0.100000,2,4,1.043878,0.125000,79,22.362881
0.100000,2,4,1.043873,0.130000,76,21.536575
0.100000,2,4,1.043893,0.135000,74,21.010303
0.100000,2,4,1.043875,0.140000,71,20.144447
0.100000,2,4,1.043832,0.145000,68,19.369217
0.100000,2,4,1.043836,0.150000,66,18.790625
0.100000,2,4,1.043826,0.155000,64,18.216961
0.100000,2,4,1.043806,0.160000,62,17.672096
0.100000,2,4,1.043774,0.165000,60,17.120800
0.100000,2,4,1.043725,0.170000,58,16.532415
0.100000,2,4,1.043744,0.175000,57,16.279327
0.100000,2,4,1.043684,0.180000,55,15.754368
0.100000,2,4,1.043677,0.185000,54,15.455328
0.100000,2,4,1.043594,0.190000,52,14.910400
0.100000,2,4,1.043581,0.195000,51,14.625376
0.100000,2,4,1.043541,0.200000,50,14.358912
0.100000,2,4,1.043414,0.205000,48,13.811232
0.100000,2,4,1.043382,0.210000,47,13.553152
0.100000,2,4,1.043333,0.215000,46,13.279392
0.100000,2,4,1.043272,0.220000,45,12.985568
0.100000,2,4,1.043200,0.225000,44,12.710784
0.100000,2,4,1.043116,0.230000,43,12.421216
0.100000,2,4,1.043019,0.235000,42,12.127456
0.100000,2,4,1.042902,0.240000,41,11.856064
0.100000,2,4,1.042755,0.245000,40,11.576416
0.100000,2,4,1.042765,0.250000,40,11.572832
0.100000,2,4,1.042666,0.255000,39,11.280384
0.100000,2,4,1.042529,0.260000,38,11.020672
0.100000,2,4,1.042327,0.265000,37,10.730592
0.100000,2,4,1.042294,0.270000,37,10.759296
0.100000,2,4,1.042167,0.275000,36,10.453504
0.100000,2,4,1.041926,0.280000,35,10.198944
0.100000,2,4,1.041876,0.285000,35,10.188480
0.100000,2,4,1.041707,0.290000,34,9.929056
0.100000,2,4,1.041328,0.295000,33,9.658656
0.100000,2,4,1.041405,0.300000,33,9.642208
0.100000,2,4,1.041052,0.305000,32,9.351296
0.100000,2,4,1.041048,0.310000,32,9.353184
0.100000,2,4,1.040694,0.315000,31,9.087008
0.100000,2,4,1.040656,0.320000,31,9.111840
0.100000,2,4,1.040255,0.325000,30,8.790816
0.100000,2,4,1.040235,0.330000,30,8.796576
0.100000,2,4,1.039715,0.335000,29,8.531808
0.100000,2,4,1.039769,0.340000,29,8.523712
0.100000,2,4,1.039018,0.345000,28,8.265088
0.100000,2,4,1.039215,0.350000,28,8.262080
0.100000,2,4,1.038993,0.355000,28,8.253696
0.100000,2,4,1.038491,0.360000,27,7.984576
0.100000,2,4,1.038475,0.365000,27,7.983936
0.100000,2,4,1.038042,0.370000,27,7.988608
0.100000,2,4,1.037731,0.375000,26,7.695456
0.100000,2,4,1.037586,0.380000,26,7.697696
0.100000,2,4,1.036556,0.385000,25,7.416768
0.100000,2,4,1.036791,0.390000,25,7.417248
0.100000,2,4,1.036602,0.395000,25,7.415456
0.100000,2,4,1.035992,0.400000,25,7.416288
0.100000,2,4,1.035663,0.405000,24,7.139808
0.100000,2,4,1.035527,0.410000,24,7.138208
0.100000,2,4,1.034976,0.415000,24,7.141152
0.100000,2,4,1.034258,0.420000,23,6.859296
0.100000,2,4,1.034289,0.425000,23,6.857216
0.100000,2,4,1.033904,0.430000,23,6.857408
0.100000,2,4,1.032362,0.435000,22,6.636608
0.100000,2,4,1.032697,0.440000,22,6.623200
0.100000,2,4,1.032600,0.445000,22,6.637536
0.100000,2,4,1.032090,0.450000,22,6.624192
0.100000,2,4,1.030382,0.455000,21,6.316960
0.100000,2,4,1.030733,0.460000,21,6.301952
0.100000,2,4,1.030653,0.465000,21,6.303232
0.100000,2,4,1.030161,0.470000,21,6.301952
0.100000,2,4,1.029249,0.475000,21,6.304032
0.100000,2,4,1.028242,0.480000,20,6.033504
0.100000,2,4,1.028344,0.485000,20,6.026688
0.100000,2,4,1.028031,0.490000,20,6.036320
0.100000,2,4,1.027307,0.495000,20,6.036576
0.100000,2,4,1.026160,0.500000,20,6.032512
0.100000,2,4,1.025320,0.505000,19,5.743808
0.100000,2,4,1.025375,0.510000,19,5.749376
0.100000,2,4,1.025017,0.515000,19,5.750272
0.100000,2,4,1.024251,0.520000,19,5.753824
0.100000,2,4,1.023067,0.525000,19,5.743680
0.100000,2,4,1.021489,0.530000,18,5.474176
0.100000,2,4,1.021719,0.535000,18,5.493376
0.100000,2,4,1.021534,0.540000,18,5.470112
0.100000,2,4,1.020944,0.545000,18,5.471232
0.100000,2,4,1.019945,0.550000,18,5.487904
0.100000,2,4,1.018531,0.555000,18,5.469664
0.100000,2,4,1.016832,0.560000,17,5.204288
0.100000,2,4,1.017076,0.565000,17,5.190592
0.100000,2,4,1.016909,0.570000,17,5.184512
0.100000,2,4,1.016339,0.575000,17,5.183136
0.100000,2,4,1.015367,0.580000,17,5.208832
0.100000,2,4,1.013987,0.585000,17,5.200800
0.100000,2,4,1.010435,0.590000,16,4.924256
0.100000,2,4,1.011000,0.595000,16,4.929600
0.100000,2,4,1.011148,0.600000,16,4.917760
0.100000,2,4,1.010894,0.605000,16,4.926528
0.100000,2,4,1.010243,0.610000,16,4.934208
0.100000,2,4,1.009195,0.615000,16,4.924224
0.100000,2,4,1.007744,0.620000,16,4.925568
0.100000,2,4,1.005891,0.625000,16,4.925440
0.100000,2,4,1.003021,0.630000,15,4.647744
0.100000,2,4,1.003428,0.635000,15,4.652640
0.100000,2,4,1.003436,0.640000,15,4.651328
0.100000,2,4,1.003053,0.645000,15,4.649760
0.100000,2,4,1.002280,0.650000,15,4.649216
0.100000,2,4,1.001116,0.655000,15,4.646848
0.100000,2,4,0.999558,0.660000,15,4.648224
0.100000,2,4,0.997604,0.665000,15,4.643712
0.100000,2,4,0.992420,0.670000,14,4.364352
0.100000,2,4,0.993096,0.675000,14,4.367648
0.100000,2,4,0.993380,0.680000,14,4.366528
0.100000,2,4,0.993282,0.685000,14,4.364288
0.100000,2,4,0.992803,0.690000,14,4.365856
0.100000,2,4,0.991943,0.695000,14,4.368928
0.100000,2,4,0.990702,0.700000,14,4.367872
0.100000,2,4,0.989075,0.705000,14,4.377376
0.100000,2,4,0.987062,0.710000,14,4.364480
0.100000,2,4,0.977917,0.714999,13,4.090240
0.100000,2,4,0.978936,0.719999,13,4.092192
0.100000,2,4,0.979582,0.724999,13,4.091392
0.100000,2,4,0.979862,0.729999,13,4.090304
0.100000,2,4,0.979775,0.734999,13,4.092256
0.100000,2,4,0.979322,0.739999,13,4.091072
0.100000,2,4,0.978503,0.744999,13,4.088448
0.100000,2,4,0.977313,0.749999,13,4.093984
0.100000,2,4,0.975752,0.754999,13,4.091712
0.100000,2,4,0.973816,0.759999,13,4.091744
0.100000,2,4,0.971505,0.764999,13,4.091200
0.100000,2,4,0.958812,0.769999,12,3.812896
0.100000,2,4,0.959961,0.774999,12,3.802016
0.100000,2,4,0.960775,0.779999,12,3.812736
0.100000,2,4,0.961250,0.784999,12,3.816384
0.100000,2,4,0.961384,0.789999,12,3.822720
0.100000,2,4,0.961175,0.794999,12,3.822208
0.100000,2,4,0.960619,0.799999,12,3.825856
0.100000,2,4,0.959714,0.804999,12,3.830720
0.100000,2,4,0.958456,0.809999,12,3.830656
0.100000,2,4,0.956841,0.814999,12,3.839168
0.100000,2,4,0.954866,0.819999,12,3.845344
0.100000,2,4,0.952530,0.824999,12,3.845824
0.100000,2,4,0.949834,0.829999,12,3.854496
0.100000,2,4,0.932403,0.834999,11,3.571840
0.100000,2,4,0.933606,0.839999,11,3.571488
0.100000,2,4,0.934519,0.844999,11,3.572960
0.100000,2,4,0.935138,0.849999,11,3.575904
0.100000,2,4,0.935453,0.854999,11,3.584768
0.100000,2,4,0.935459,0.859999,11,3.576544
0.100000,2,4,0.935151,0.864999,11,3.597632
0.100000,2,4,0.934522,0.869999,11,3.589088
0.100000,2,4,0.933568,0.874999,11,3.589408
0.100000,2,4,0.932283,0.879999,11,3.595008
0.100000,2,4,0.930664,0.884999,11,3.602304
0.100000,2,4,0.928706,0.889999,11,3.592256
0.100000,2,4,0.926408,0.894999,11,3.600512
0.100000,2,4,0.923767,0.899999,11,3.605792
0.100000,2,4,0.920784,0.904999,11,3.610304
0.100000,2,4,0.894286,0.909999,10,3.323456
0.100000,2,4,0.895543,0.914999,10,3.326848
0.100000,2,4,0.896578,0.919999,10,3.331104
0.100000,2,4,0.897379,0.924999,10,3.331520
0.100000,2,4,0.897935,0.929999,10,3.336096
0.100000,2,4,0.898235,0.934999,10,3.339776
0.100000,2,4,0.898272,0.939999,10,3.373376
0.100000,2,4,0.898036,0.944999,10,3.339264
0.100000,2,4,0.897520,0.949999,10,3.351296
0.100000,2,4,0.896715,0.954999,10,3.361664
0.100000,2,4,0.895616,0.959999,10,3.343424
0.100000,2,4,0.894217,0.964999,10,3.352192
0.100000,2,4,0.892512,0.969999,10,3.352800
0.100000,2,4,0.890497,0.974999,10,3.378816
0.100000,2,4,0.888168,0.979999,10,3.360320
0.100000,2,4,0.885523,0.984999,10,3.378816
0.100000,2,4,0.882559,0.989999,10,3.387680
0.100000,2,4,0.879277,0.994999,10,3.394528
0.100000,2,4,0.875677,0.999999,10,3.373152
0.100000,2,4,0.839261,1.000000,10,3.080064
0.100000,2,4,0.839261,1.000000,10,3.082304
0.100000,2,4,0.839261,1.000000,10,3.081856
0.100000,2,4,0.839261,1.000000,10,3.083392
0.100000,2,4,0.839261,1.000000,10,3.084000
0.100000,2,4,0.839261,1.000000,10,3.083456
0.100000,2,4,0.839261,1.000000,10,3.080512
0.100000,2,4,0.839261,1.000000,10,3.083200
0.100000,2,4,0.839261,1.000000,10,3.083840
0.100000,2,4,0.839261,1.000000,10,3.082528
0.100000,2,4,0.839261,1.000000,10,3.086368
0.100000,2,4,0.839261,1.000000,10,3.084480
0.100000,2,1,5.175283,1.000000,10,0.552480
0.100000,2,1,2.521490,0.995000,10,0.591968
0.100000,2,1,2.168548,0.990000,10,0.590432
0.100000,2,1,1.758873,0.985000,10,0.590176
0.100000,2,1,1.296066,0.980000,10,0.588864
0.100000,2,1,0.805867,0.975000,10,0.590944
0.100000,2,1,0.495689,0.970000,10,0.586976
0.100000,2,1,0.883900,0.965000,10,0.587904
0.100000,2,1,1.626213,0.960000,10,0.585952
0.100000,2,1,2.507651,0.955000,10,0.585888
0.100000,2,1,3.491446,0.950000,10,0.584128
0.100000,2,1,4.558394,0.945000,10,0.584480
0.100000,2,1,5.685904,0.940000,10,0.584224
0.100000,2,1,6.843763,0.935000,10,0.580928
0.100000,2,1,7.993728,0.930000,10,0.582368
0.100000,2,1,9.091028,0.925000,10,0.580064
0.100000,2,1,10.086979,0.920000,10,0.579552
0.100000,2,1,10.932582,0.915000,10,0.575744
0.100000,2,1,11.582495,0.910000,10,0.575616
0.100000,2,1,14.250983,0.905000,11,0.616448
0.100000,2,1,14.116375,0.900000,11,0.612480
0.100000,2,1,13.699210,0.895000,11,0.613184
0.100000,2,1,13.078305,0.890000,11,0.610080
0.100000,2,1,12.361418,0.885000,11,0.613120
0.100000,2,1,11.660722,0.880000,11,0.607776
0.100000,2,1,11.054913,0.875000,11,0.606496
0.100000,2,1,10.553078,0.870000,11,0.606464
0.100000,2,1,10.086541,0.865000,11,0.604576
0.100000,2,1,9.539020,0.860000,11,0.605504
0.100000,2,1,8.796324,0.855000,11,0.602112
0.100000,2,1,7.788143,0.850000,11,0.605344
0.100000,2,1,6.513025,0.845000,11,0.600032
0.100000,2,1,5.059297,0.840000,11,0.601088
0.100000,2,1,3.666236,0.835000,11,0.598176
0.100000,2,1,3.935343,0.830000,12,0.636768
0.100000,2,1,4.379213,0.825000,12,0.635776
0.100000,2,1,5.619791,0.820000,12,0.630624
0.100000,2,1,7.216865,0.815000,12,0.630624
0.100000,2,1,8.688814,0.810000,12,0.625120
0.100000,2,1,9.774450,0.805000,12,0.624832
0.100000,2,1,10.365203,0.800000,12,0.622144
0.100000,2,1,10.449814,0.795000,12,0.622240
0.100000,2,1,10.089958,0.790000,12,0.617664
0.100000,2,1,9.407828,0.785000,12,0.619168
0.100000,2,1,8.570280,0.780000,12,0.613952
0.100000,2,1,7.757638,0.775000,12,0.610784
0.100000,2,1,7.110110,0.770000,12,0.608768
0.100000,2,1,5.437407,0.765000,13,0.641728
0.100000,2,1,3.908209,0.760000,13,0.640640
0.100000,2,1,2.965495,0.755000,13,0.641280
0.100000,2,1,2.762375,0.750000,13,0.634624
0.100000,2,1,3.096168,0.745000,13,0.632832
0.100000,2,1,3.407014,0.740000,13,0.632928
0.100000,2,1,3.482072,0.735000,13,0.631840
0.100000,2,1,3.402190,0.730000,13,0.633120
0.100000,2,1,3.339469,0.725000,13,0.627520
0.100000,2,1,3.404036,0.720000,13,0.627680
0.100000,2,1,3.581841,0.715000,13,0.627104
0.100000,2,1,3.935166,0.710000,14,0.654240
0.100000,2,1,4.065066,0.705000,14,0.654656
0.100000,2,1,4.019094,0.700000,14,0.651872
0.100000,2,1,3.851248,0.695000,14,0.654304
0.100000,2,1,3.654959,0.690000,14,0.652384
0.100000,2,1,3.513143,0.685000,14,0.655776
0.100000,2,1,3.456651,0.680000,14,0.650912
0.100000,2,1,3.456602,0.675000,14,0.650368
0.100000,2,1,3.459393,0.670000,14,0.649888
0.100000,2,1,3.942190,0.665000,15,0.679040
0.100000,2,1,3.819907,0.660000,15,0.675744
0.100000,2,1,3.661184,0.655000,15,0.676640
0.100000,2,1,3.519456,0.650000,15,0.680672
0.100000,2,1,3.428401,0.645000,15,0.673440
0.100000,2,1,3.392644,0.640000,15,0.675424
0.100000,2,1,3.396897,0.635000,15,0.673088
0.100000,2,1,3.420728,0.630000,15,0.673024
0.100000,2,1,3.447066,0.625000,15,0.671776
0.100000,2,1,4.129334,0.620000,16,0.701248
0.100000,2,1,4.100911,0.615000,16,0.700512
