Array Length, Dot Product, Time Used [Ms], Atomic
32, 6.000000, 0.631168, 1
48, 9.000000, 0.618912, 1
72, 13.500000, 0.562432, 1
108, 20.250000, 0.589792, 1
162, 30.375000, 0.624832, 1
243, 45.562500, 0.493344, 1
364, 68.250000, 0.792512, 1
546, 102.375000, 0.870336, 1
819, 153.562500, 0.973152, 1
1228, 230.250000, 0.874400, 1
1842, 345.375000, 0.678176, 1
2763, 518.062500, 0.818464, 1
4144, 777.000000, 0.873248, 1
6216, 1165.500000, 0.918720, 1
9324, 1748.250000, 0.710976, 1
13986, 2622.375000, 0.789440, 1
20979, 3933.562500, 1.066272, 1
31468, 5900.250000, 1.206400, 1
47202, 8850.375000, 1.271552, 1
70803, 13275.562500, 1.502976, 1
106204, 19913.250000, 1.731360, 1
159306, 29869.875000, 2.862144, 1
238959, 44804.812500, 3.660160, 1
358438, 67207.125000, 5.034816, 1
537657, 100810.687500, 6.519968, 1
806485, 151215.937500, 7.851104, 1
1209727, 226823.812500, 11.070976, 1
1814590, 340235.625000, 16.636225, 1
2721885, 510353.437500, 24.957760, 1
4082827, 765530.062500, 34.817215, 1
6124240, 1148295.000000, 52.811775, 1
9186360, 1722442.500000, 77.538689, 1
13779540, 2583663.750000, 116.263298, 1
20669310, 3875495.500000, 169.090179, 1
31003965, 5813243.500000, 256.349762, 1
46505947, 8719865.000000, 388.951233, 1
32, 6.000000, 0.468672, 0
48, 9.000000, 0.558240, 0
72, 13.500000, 0.556320, 0
108, 20.250000, 0.472096, 0
162, 30.375000, 0.585216, 0
243, 45.562500, 0.544576, 0
364, 68.250000, 0.839520, 0
546, 102.375000, 0.893440, 0
819, 153.562500, 0.791968, 0
1228, 192.000000, 0.615840, 0
1842, 192.000000, 0.841120, 0
2763, 192.000000, 0.657504, 0
4144, 201.000000, 0.872288, 0
6216, 397.500000, 0.885824, 0
9324, 788.250000, 0.968128, 0
13986, 1278.375000, 0.771072, 0
20979, 2589.562500, 1.468224, 0
31468, 3788.250000, 1.116544, 0
47202, 5778.375000, 1.292544, 0
70803, 8475.562500, 1.620928, 0
106204, 14345.250000, 1.471904, 0
159306, 25069.875000, 2.108032, 0
238959, 41156.812500, 3.181920, 0
358438, 64903.125000, 4.128416, 0
537657, 96010.687500, 5.784256, 0
806485, 138927.937500, 7.939936, 0
1209727, 204359.812500, 10.901920, 0
1814590, 322187.625000, 16.080128, 0
2721885, 503441.437500, 23.532703, 0
4082827, 746522.062500, 34.798046, 0
6124240, 1114311.000000, 51.571487, 0
9186360, 1662730.500000, 77.984734, 0
13779540, 2533359.750000, 115.239136, 0
20669310, 3738599.500000, 173.555908, 0
31003965, 5545595.500000, 253.784286, 0
46505947, 8295737.000000, 386.164520, 0
32, 6.000000, 0.000000, -1
48, 9.000000, 0.000000, -1
72, 13.500000, 0.000000, -1
108, 20.250000, 0.000000, -1
162, 30.375000, 0.000000, -1
243, 45.562500, 0.000000, -1
364, 68.250000, 0.000000, -1
546, 102.375000, 0.000000, -1
819, 153.562500, 0.000000, -1
1228, 230.250000, 0.000000, -1
1842, 345.375000, 0.000000, -1
2763, 518.062500, 0.000000, -1
4144, 777.000000, 0.000000, -1
6216, 1165.500000, 0.000000, -1
9324, 1748.250000, 0.000000, -1
13986, 2622.375000, 0.000000, -1
20979, 3933.562500, 0.000000, -1
31468, 5900.250000, 0.000000, -1
47202, 8850.375000, 4.000000, -1
70803, 13275.562500, 0.000000, -1
106204, 19913.250000, 0.000000, -1
159306, 29869.875000, 0.000000, -1
238959, 44804.812500, 4.000000, -1
358438, 67207.125000, 0.000000, -1
537657, 100810.687500, 0.000000, -1
806485, 151215.937500, 0.000000, -1
1209727, 226823.812500, 4.000000, -1
1814590, 340235.625000, 4.000000, -1
2721885, 510353.437500, 4.000000, -1
4082827, 765530.062500, 4.000000, -1
6124240, 1181534.500000, 8.000000, -1
9186360, 1947064.500000, 12.000000, -1
13779540, 3095359.500000, 24.000000, -1
20669310, 4194304.000000, 36.000000, -1
31003965, 4194304.000000, 48.000000, -1
46505947, 4194304.000000, 72.000000, -1
